active_bsl_count,active_fvg_count_50,active_ob_count_50,active_ssl_count,atr_14,atr_1m_pips,bars_previous_pivot,bars_since_equal_level,bars_since_fvg,bars_since_ob,bars_since_structure_event,body_atr_ratio,bos_count_previous_20,bsl_count_previous_100,candle_direction,choch_count_previous_20,close_position,confirm_close,confirm_high,confirm_low,confirm_open,confirm_volume,confirmation_delay,confirmation_index,confirmation_timestamp,dataset_date,demand_distance_pips,distance_equal_level_atr,distance_equal_level_pips,distance_fvg_atr,distance_fvg_pips,distance_last_structure_event_atr,distance_last_structure_event_pips,distance_nearest_bsl_atr,distance_nearest_bsl_pips,distance_nearest_ssl_atr,distance_nearest_ssl_pips,distance_ob_atr,distance_ob_pips,distance_previous_pivot,equal_level_type,equal_levels_previous_100,fvg_mitigated,fvg_size_atr,ghost_definition,ghost_id,ghost_index,ghost_price_mid,ghost_timestamp,inside_fvg,inside_order_block,last_structure_event,last_structure_event_direction,legacy_liquidity_target,liquidity_imbalance_100,liquidity_state,liquidity_type,lower_wick,near_equal_level,nearest_fvg_type,nearest_ob_type,ob_invalidated,ob_size_atr,pivot_body,pivot_close,pivot_high,pivot_id,pivot_index,pivot_low,pivot_open,pivot_price,pivot_range,pivot_side,pivot_timestamp,pivot_volume,previous_pivot_price,previous_pivot_type,price_to_confirm_close,range_atr_ratio,resolved_index,source,source_file,sr_4h_resistance_pips,sr_4h_support_pips,sr_daily_resistance_pips,sr_daily_support_pips,sr_weekly_resistance_pips,sr_weekly_support_pips,ssl_count_previous_100,structure_mode,structure_type,supply_distance_pips,swept_index,swing_size_atr,symbol,target_trace_10,target_trace_15,target_trace_3,target_trace_5,tf_10_atr_pips,tf_10_channel_halfwidth_pips,tf_10_channel_lower_touches,tf_10_channel_upper_touches,tf_10_channel_valid_3_touches,tf_10_fib382_distance_pips,tf_10_fib500_distance_pips,tf_10_fib618_distance_pips,tf_10_poc_distance_pips,tf_10_range_pips,tf_10_resistance_distance_pips,tf_10_return_pips,tf_10_support_distance_pips,tf_10_trend_distance_pips,tf_10_vah_distance_pips,tf_10_val_distance_pips,tf_10_volume,tf_10_volume_ema9,tf_10_volume_ratio_ema9,tf_10_vwap_distance_pips,tf_1_atr_pips,tf_1_channel_halfwidth_pips,tf_1_channel_lower_touches,tf_1_channel_upper_touches,tf_1_channel_valid_3_touches,tf_1_fib382_distance_pips,tf_1_fib500_distance_pips,tf_1_fib618_distance_pips,tf_1_poc_distance_pips,tf_1_range_pips,tf_1_resistance_distance_pips,tf_1_return_pips,tf_1_support_distance_pips,tf_1_trend_distance_pips,tf_1_vah_distance_pips,tf_1_val_distance_pips,tf_1_volume,tf_1_volume_ema9,tf_1_volume_ratio_ema9,tf_1_vwap_distance_pips,tf_60_atr_pips,tf_60_channel_halfwidth_pips,tf_60_channel_lower_touches,tf_60_channel_upper_touches,tf_60_channel_valid_3_touches,tf_60_fib382_distance_pips,tf_60_fib500_distance_pips,tf_60_fib618_distance_pips,tf_60_poc_distance_pips,tf_60_range_pips,tf_60_resistance_distance_pips,tf_60_return_pips,tf_60_support_distance_pips,tf_60_trend_distance_pips,tf_60_vah_distance_pips,tf_60_val_distance_pips,tf_60_volume,tf_60_volume_ema9,tf_60_volume_ratio_ema9,tf_60_vwap_distance_pips,timeframe,upper_wick,volume_mean_20,volume_ratio_20,volume_std_20,volume_zscore_20
1,4,0,0,9.75770842836466,39.0308337134586,0,-1,12,-1,-1,0.358690775164572,0,1,-1,0,0.135593220338983,24168.5,24181.25,24166.5,24172,427,0,121,2026-04-01T02:01:00-05:00,2026-04,173.5,0,0,1.56286694893135,61,0,0,0,0,0,0,0,0,0,NONE,0,1,0.256207696546123,EXTERNAL_SWING_CONFIRMATION,1,121,24173.875,2026-04-01T02:01:00-05:00,0,0,NONE,NONE,SWEEP,1,Resolved,BSL,2,0,BULLISH_FVG,NONE,0,0,3.5,24168.5,24181.25,1,121,24166.5,24172,24181.25,14.75,HIGH,2026-04-01T02:01:00-05:00,427,0,NONE,1.30665925238523,1.51162540962213,398,ChartPrimeHigh,2026_04.csv,29.5,665.5,29.5,665.5,29.5,665.5,0,external,H,3.5,398,0,NQ,5,5,2,4,115.615384615385,65.9430419714341,3,4,1,400.009999999995,318,235.990000000005,42.8958333333285,695,29.5,619,665.5,37.3021978022007,-15.0208333333285,448.3125,1786,2005.80807145062,0.890414205337375,279.479471253362,36.6428571428571,15.9212323360257,11,9,1,320.906000000003,254,187.093999999997,53.1875,567,29.5,37,537.5,13.6571428571333,-17.6875,289.4375,427,232.596792410401,1.83579487737125,178.136334544804,279.666666666667,58.2184583176924,1,2,0,400.009999999995,318,235.990000000005,42.8958333333285,695,29.5,619,665.5,62.6666666666715,-15.0208333333285,448.3125,14583,3980.12,3.66395988060661,279.479471253362,1,9.25,223.35,1.91179762704276,108.48284426581,1.87725535201683
1,4,0,1,12.0229055412129,48.0916221648516,142,40,259,-1,-1,0.291110995424731,0,0,1,0,0.877551020408163,24014.25,24015.75,24003.5,24010.75,192,0,263,2026-04-01T04:23:00-05:00,2026-04,-483.5,6.17571183151037,297,0.790158416152841,38,0,0,14.7842798390703,711,0,0,0,0,177.75,EQL,2,1,0.0831745701213517,EXTERNAL_SWING_CONFIRMATION,2,263,24009.625,2026-04-01T04:23:00-05:00,0,0,NONE,NONE,GRAB,0,Resolved,SSL,7.25,0,BULLISH_FVG,NONE,0,0,3.5,24014.25,24015.75,2,263,24003.5,24010.75,24003.5,12.25,LOW,2026-04-01T04:23:00-05:00,192,24181.25,HIGH,-0.894126628804531,1.01888848398656,1160,ChartPrimeLow,2026_04.csv,686.5,24.5,686.5,24.5,686.5,24.5,1,external,L,354.5,1159,14.7842798390703,NQ,4,5,2,2,164.071428571429,129.135253889063,6,8,1,-247.101999999999,-331,-414.898000000001,-612.4375,711,686.5,-155,24.5,-186.742857142861,-642.0625,-256.9375,1696,2076.47339286304,0.816769435057173,-383.273892298748,44.9285714285714,22.1777533659502,8,10,1,-132.884000000005,-181.5,-230.115999999995,-224.416666666672,412,387.5,-193,24.5,-3.34285714286671,-344.583333333328,-224.416666666672,192,188.996455798754,1.01589206627475,-228.433125140684,359.8,165.467761210452,3,2,0,-247.101999999999,-331,-414.898000000001,-612.4375,711,686.5,2,24.5,-192.300000000003,-642.0625,-227.3125,11848,8032.2176,1.47505963981852,-352.809117596757,1,1.5,161.6,1.18811881188119,59.9794964967196,0.506839866547773
1,0,0,1,21.5944194057924,86.3776776231697,201,82,43,64,64,3.24157823762668,0,1,1,0,0.545454545454545,24182.25,24246,24105.75,24112.25,1828,0,464,2026-04-01T07:44:00-05:00,2026-04,280.5,4.80448203076812,415,2.3154130268762,200,2.99845986980468,259,0,0,11.2297531803496,970,3.9014709502864,337,242.5,EQL,1,1,0.150501846746953,EXTERNAL_SWING_CONFIRMATION,3,464,24175.875,2026-04-01T07:44:00-05:00,0,0,BOS_UP,UP,SWEEP,0,Resolved,BSL,6.5,0,BEARISH_FVG,BULLISH_OB,1,0.358889019165811,70,24182.25,24246,3,464,24105.75,24112.25,24246,140.25,HIGH,2026-04-01T07:44:00-05:00,1828,24003.5,LOW,2.95215160926716,6.49473354038774,592,ChartPrimeHigh,2026_04.csv,280.5,689.5,280.5,689.5,280.5,689.5,0,external,HH,-180.5,592,11.2297531803496,NQ,5,6,1,3,156.357142857143,89.2089215926839,6,8,1,289.914000000004,181,72.0859999999957,7.9375,923,280.5,668,642.5,-77.3428571428667,-68.9791666666715,238.6875,5317,2958.99211559406,1.79689562942027,182.185307753811,88.9285714285714,64.5177841659497,9,5,1,68.6699999999983,2,-64.6699999999983,-9.77083333332848,565,280.5,139,284.5,202.899999999994,-268.729166666672,155.020833333328,1828,621.446991964768,2.94152200209481,67.1722927050432,383.625,199.245096880579,3,4,0,318.960000000006,204.5,90.0399999999936,103.458333333328,970,280.5,674,689.5,98.416666666657,-58.2083333333285,386.375,17656,11328.5363712,1.55854202356502,254.124850889624,1,63.75,343.55,5.32091398631931,178.463014375528,8.31797000176388
1,1,0,2,20.401634563756,81.606538255024,23,264,472,87,87,0.4043793635367,0,1,1,0,0.694915254237288,24046.25,24050.75,24036,24038,466,0,487,2026-04-01T08:07:00-05:00,2026-04,-249.5,2.04640465789785,167,0,0,7.11952758226736,581,10.2932928900251,840,0,0,5.78385029058553,472,210,EQL,0,1,0.110285280964555,EXTERNAL_SWING_CONFIRMATION,4,487,24043.375,2026-04-01T08:07:00-05:00,1,0,BOS_UP,UP,SWEEP,-0.333333333333333,Resolved,SSL,2,0,BULLISH_FVG,BULLISH_OB,1,0.379871523322355,8.25,24046.25,24050.75,4,487,24036,24038,24036,14.75,LOW,2026-04-01T08:07:00-05:00,466,24246,HIGH,-0.502410724394082,0.722981286323191,1157,ChartPrimeLow,2026_04.csv,810.5,159.5,810.5,159.5,810.5,159.5,1,external,HL,357.5,1157,10.2932928900251,NQ,7,8,2,4,172.357142857143,179.13873766114,7,6,1,-291.380000000005,-390.5,-489.619999999995,-548,840,810.5,-71,29.5,-387.728571428568,-583,-128,5043,4501.58331312387,1.12027250174348,-321.51047517563,64.8571428571429,24.498871387232,13,11,1,-291.380000000005,-390.5,-489.619999999995,-58,840,810.5,-328,29.5,-3.52857142857101,-408,12,466,514.488450034003,0.905754055254694,-288.938597703556,383.222222222222,198.460066885377,5,1,0,-211.039999999994,-325.5,-439.960000000006,-466.958333333328,970,810.5,130,159.5,-287.833333333343,-588.208333333328,-103.208333333328,28943,13147.11193344,2.20147209109727,-263.859221017978,1,4.5,602.1,0.773957814316559,182.100768806724,-0.747388387714344
1,1,0,2,8.40401803255275,33.616072130211,237,54,3,131,131,0.327224428761093,0,1,1,0,0.5,24341.25,24348.25,24334.25,24338.5,1214,0,724,2026-04-01T12:04:00-05:00,2026-04,1088,2.61779543008875,88,3.03426288487559,102,12.1667992148443,409,0,0,37.1548465020551,1249,13.2377155271533,445,312.25,EQH,1,1,0.11899070136767,EXTERNAL_SWING_CONFIRMATION,5,724,24341.25,2026-04-01T12:04:00-05:00,0,0,BOS_UP,UP,RUN,-0.333333333333333,Resolved,BSL,4.25,0,BEARISH_FVG,BULLISH_OB,0,1.30889771504437,2.75,24341.25,24348.25,5,724,24334.25,24338.5,24348.25,14,HIGH,2026-04-01T12:04:00-05:00,1214,24036,LOW,0.832934909573692,1.66586981914738,3876,ChartPrimeHigh,2026_04.csv,28,1221,28,1351,28,1351,0,external,HH,-661,3874,37.1548465020551,NQ,0,0,0,0,143.357142857143,88.7021549525885,5,7,1,687.644,551,414.356,92.625,1158,28,986,1130,-78.0142857142928,-3.875,671.625,5178,6088.83878275749,0.850408457958056,468.239815887282,30.9285714285714,21.1923512588787,4,7,1,120.320000000007,92,63.679999999993,117,240,28,64,212,52.528571428571,27,127,1214,673.27279615464,1.80313241071627,103.560182833928,413.076923076923,238.299249987024,1,6,1,824.221999999994,661.5,498.778000000006,747.6875,1379,28,1310,1351,262.538461538454,517.854166666672,1207.35416666667,31504,37360.9893187584,0.84323248860496,673.512627305419,1,7,381.3,3.18384474167322,249.415336336802,3.33860785078409
1,0,0,3,10.4998745386263,41.9994981545051,387,28,290,711,518,0.666674632563355,0,0,-1,0,0.471698113207547,24160.75,24167.75,24154.5,24167.75,137,0,1111,2026-04-01T19:31:00-05:00,2026-04,-174.5,0.452386357810848,19,0,0,8.71438983993528,366,18.4526014370214,775,0,0,0,0,193.75,EQL,2,1,1.80954543124339,EXTERNAL_SWING_CONFIRMATION,6,1111,24161.125,2026-04-01T19:31:00-05:00,1,1,BOS_UP,UP,RUN,-0.5,Resolved,SSL,6.25,1,BULLISH_FVG,BULLISH_OB,1,0.738104057480857,7,24160.75,24167.75,6,1111,24154.5,24167.75,24154.5,13.25,LOW,2026-04-01T19:31:00-05:00,137,24348.25,HIGH,-0.595245207645853,1.26191984020921,1145,ChartPrimeLow,2026_04.csv,378.5,26.5,748.5,630.5,748.5,630.5,1,external,HL,318.5,1143,18.4526014370214,NQ,4,7,1,2,95.4285714285714,41.771421950052,8,11,1,-52.1919999999955,-76.5,-100.808000000005,-123.708333333328,206,179.5,-135,26.5,-49.8571428571449,-158.041666666672,-55.0416666666715,862,943.495898259948,0.913623473710646,-93.0464021698863,39.7857142857143,21.8580029561947,6,9,1,-43.0240000000049,-64.5,-85.9759999999951,-53.125,182,155.5,-25,26.5,-18.8142857142811,-75.875,-0.0416666666715173,137,94.0098142366443,1.45729465707846,-59.7872023809468,412.142857142857,260.544379313533,11,8,1,103.721999999994,-59,-221.721999999994,-145.1875,1379,748.5,588,630.5,-296.415789473685,-604.854166666672,84.6458333333285,5824,25439.4955055461,0.22893535757147,-104.219483592387,1,0,98.95,1.38453764527539,53.6884298522503,0.708718807845806
2,3,0,3,13.2174333338475,52.86973333539,28,348,355,546,546,0.170229721850622,0,1,-1,0,0.5,24236.25,24245.75,24226.75,24238.5,296,0,1139,2026-04-01T19:59:00-05:00,2026-04,181,0.113486481233748,6,0,0,0.018914413538958,1,0,0,6.90376094171968,365,0.662004473863531,35,91.25,EQH,2,1,0.737662128019363,EXTERNAL_SWING_CONFIRMATION,7,1139,24236.25,2026-04-01T19:59:00-05:00,1,0,BOS_UP,UP,SWEEP,-0.2,Resolved,BSL,9.5,1,BEARISH_FVG,BULLISH_OB,1,0.832234195714153,2.25,24236.25,24245.75,7,1139,24226.75,24238.5,24245.75,19,HIGH,2026-04-01T19:59:00-05:00,296,24154.5,LOW,0.718747714480405,1.43749542896081,1957,ChartPrimeHigh,2026_04.csv,38,327,448,931,448,931,1,external,LH,-91,1957,6.90376094171968,NQ,6,6,2,3,110.357142857143,64.5198049095303,5,11,1,187.570000000007,144.5,101.429999999993,197.729166666672,365,38,168,327,170.428571428565,152.104166666672,273.770833333328,1707,1376.1855144802,1.2403850949156,190.229964636164,49.1428571428571,35.7327838560786,4,6,1,187.570000000007,144.5,101.429999999993,243.354166666672,365,38,231,327,33.0999999999913,91.2708333333285,304.1875,296,205.9473656289,1.43726043349041,176.191696642709,395.214285714286,266.984452672071,11,6,1,404.221999999994,241.5,78.7780000000057,155.3125,1379,448,890,931,-45.4052631578961,-304.354166666672,385.145833333328,8896,23824.132024687,0.373402900503649,195.468756497299,1,7.25,204.6,1.44672531769306,129.667035132296,0.704882315746228
2,4,0,1,9.22643550043804,36.9057420017522,315,161,12,1054,311,0.487728982637591,0,0,1,0,0.96969696969697,23760.5,23760.75,23752.5,23756,157,0,1454,2026-04-02T01:14:00-05:00,2026-04,-465.5,11.949360074621,441,0.812881637729318,30,43.5704557822915,1608,53.4605157079982,1973,0,0,43.5162636731095,1606,493.25,EQL,0,1,0.162576327545864,EXTERNAL_SWING_CONFIRMATION,8,1454,23756.625,2026-04-02T01:14:00-05:00,0,0,CHOCH_DOWN,DOWN,RUN,0.333333333333333,Resolved,SSL,3.5,0,BULLISH_FVG,BULLISH_OB,1,0.839977692320296,4.5,23760.5,23760.75,8,1454,23752.5,23756,23752.5,8.25,LOW,2026-04-02T01:14:00-05:00,157,24245.75,HIGH,-0.867073746911273,0.89416980150225,1757,ChartPrimeLow,2026_04.csv,590.5,16.5,2366.5,16.5,2366.5,16.5,1,external,LL,543.5,1755,53.4605157079982,NQ,7,10,2,4,100.5,47.8613014128565,10,6,1,-200.857999999993,-268,-335.142000000007,-256.145833333328,569,552.5,-477,16.5,-31.2285714285827,-374.6875,-42.7708333333285,1624,1289.52574943443,1.25937772139274,-244.658063136769,37,35.5490088480008,4,4,1,-97.3359999999957,-132.5,-167.664000000004,-39.375,298,281.5,-23,16.5,-62.1857142857043,-151.125,-2.125,157,153.404383811373,1.02343880989117,-107.976172839524,373.714285714286,517.767401511209,5,4,1,-893.805999999997,-1175,-1456.194,-1721.10416666667,2383,2366.5,-1113,16.5,-640.128571428577,-2217.5625,-1522.52083333333,8100,14404.3446270999,0.56233033919231,-1634.43768363849,1,0.25,139.8,1.12303290414878,67.9482155762754,0.253133946993679
3,0,0,1,8.80080689242688,35.2032275697075,105,266,270,1159,416,0.454503780038852,0,1,1,0,0.645161290322581,23879.25,23882,23874.25,23875.25,186,0,1559,2026-04-02T02:59:00-05:00,2026-04,322.5,2.18729944143697,77,0,0,30.9630700151468,1090,0,0,14.7145598787578,518,30.9062570426419,1088,129.5,EQL,2,1,0.738568642563134,EXTERNAL_SWING_CONFIRMATION,9,1559,23878.125,2026-04-02T02:59:00-05:00,1,0,CHOCH_DOWN,DOWN,RUN,0.5,Resolved,BSL,1,0,BEARISH_FVG,BULLISH_OB,1,0.880601073825276,4,23879.25,23882,9,1559,23874.25,23875.25,23882,7.75,HIGH,2026-04-02T02:59:00-05:00,186,23752.5,LOW,0.312471348776711,0.880601073825276,1920,ChartPrimeHigh,2026_04.csv,15.5,502.5,1880.5,502.5,1880.5,502.5,0,external,LH,-284.5,1918,14.7145598787578,NQ,6,7,3,4,117,97.225955529228,5,6,1,304.623999999996,243.5,182.376000000004,297.458333333328,518,15.5,289,502.5,168.64285714287,167.958333333328,383.791666666672,1233,1380.25203623419,0.893315110306995,292.05913315872,32,16.593034592639,8,11,1,198.945999999996,158,117.054000000004,237.520833333328,347,15.5,147,331.5,20.3428571428522,136.3125,280.895833333328,186,134.739387490414,1.38044267132529,183.512490328285,385.071428571429,473.643763218826,6,6,1,-407.805999999997,-689,-970.194000000003,-1235.10416666667,2383,1880.5,-997,502.5,136.671428571426,-1731.5625,-1036.52083333333,9047,12558.4157328755,0.720393415255133,-1122.2364059496,1,2.75,128.65,1.44578313253012,39.9553187948739,1.43535333291741
3,4,0,1,11.6014761576756,46.4059046307023,253,111,2,57,57,0.797312331145048,0,0,1,0,0.890625,23680.25,23682,23666,23671,242,0,1812,2026-04-02T07:12:00-05:00,2026-04,-458,9.54619899181773,443,2.06870226459256,96,7.45594774530234,346,18.618320381333,864,0,0,8.10241720298751,376,216,EQL,1,0,0.387881674611104,EXTERNAL_SWING_CONFIRMATION,10,1812,23674,2026-04-02T07:12:00-05:00,0,0,BOS_DOWN,DOWN,NONE,0.5,Detected,SSL,5,0,BEARISH_FVG,BEARISH_OB,0,0.861959276913565,9.25,23680.25,23682,10,1812,23666,23671,23666,16,LOW,2026-04-02T07:12:00-05:00,242,23882,HIGH,-1.22829196960183,1.3791348430617,-1,ChartPrimeLow,2026_04.csv,784,32,2697,32,2697,32,1,external,LL,784,-1,18.618320381333,NQ,7,9,3,3,140.214285714286,89.4730421029591,9,8,1,-264.432000000001,-356,-447.567999999999,-436.833333333328,776,744,-640,32,-129.799999999988,-727.833333333328,-178.166666666672,2515,2060.61368812118,1.22051018805622,-353.065674318495,50.7857142857143,41.4889902960951,4,7,1,-131.877999999997,-182.5,-233.122000000003,-155.6875,429,397,-163,32,0.30000000000291,-298.6875,-102.0625,242,254.603916438651,0.950495983663755,-163.824748026716,349.714285714286,282.938183888736,3,5,1,-1010.478,-1332.5,-1654.522,-2071.60416666667,2729,2697,-2391,32,27.5428571428638,-2640.14583333333,-1844.1875,13725,10453.8741548561,1.31291039060618,-1807.17824824508,1,1.75,264.85,0.91372474985841,95.3526481016652,-0.239636763686283
