dataset_date,source_file,pivot_id,symbol,timeframe,pivot_index,confirmation_index,confirmation_delay,pivot_timestamp,confirmation_timestamp,pivot_side,structure_type,structure_mode,source,pivot_open,pivot_high,pivot_low,pivot_close,pivot_price,pivot_volume,pivot_range,pivot_body,upper_wick,lower_wick,candle_direction,close_position,confirm_open,confirm_high,confirm_low,confirm_close,confirm_volume,atr_14,range_atr_ratio,body_atr_ratio,price_to_confirm_close,volume_mean_20,volume_std_20,volume_ratio_20,volume_zscore_20,previous_pivot_type,previous_pivot_price,distance_previous_pivot,bars_previous_pivot,swing_size_atr,liquidity_type,liquidity_state,swept_index,resolved_index,last_structure_event,last_structure_event_direction,bars_since_structure_event,distance_last_structure_event_atr,bos_count_previous_20,choch_count_previous_20,near_equal_level,equal_level_type,distance_equal_level_atr,bars_since_equal_level,inside_fvg,nearest_fvg_type,distance_fvg_atr,fvg_size_atr,bars_since_fvg,fvg_mitigated,active_fvg_count_50,inside_order_block,nearest_ob_type,distance_ob_atr,ob_size_atr,bars_since_ob,ob_invalidated,active_ob_count_50,bsl_count_previous_100,ssl_count_previous_100,active_bsl_count,active_ssl_count,distance_nearest_bsl_atr,distance_nearest_ssl_atr,equal_levels_previous_100,liquidity_imbalance_100,target
2026-06-29,2026_06_29.csv,1,MARKET,1,2,2,0,2026-06-01T00:02:00-05:00,2026-06-01T00:02:00-05:00,LOW,L,external,ChartPrimeLow,30569.5,30573.25,30568.5,30572.25,30568.5,45,4.75,2.75,1,1,1,0.789473684210526,30569.5,30573.25,30568.5,30572.25,45,0,0,0,0,33.5,7.5,1.34328358208955,1.53333333333333,NONE,0,0,0,0,SSL,Resolved,9,11,NONE,NONE,-1,0,0,0,0,NONE,0,-1,0,NONE,0,0,-1,0,0,0,NONE,0,0,-1,0,0,0,1,0,1,0,0,0,-1,RUN
2026-06-29,2026_06_29.csv,2,MARKET,1,5,5,0,2026-06-01T00:05:00-05:00,2026-06-01T00:05:00-05:00,HIGH,H,external,ChartPrimeHigh,30575.25,30581,30575.25,30578,30581,96,5.75,2.75,3,0,1,0.478260869565217,30575.25,30581,30575.25,30578,96,0,0,0,0,54,21.4569336113062,1.77777777777778,1.95740923474122,LOW,30568.5,12.5,3,0,BSL,Resolved,48,50,NONE,NONE,-1,0,0,0,0,NONE,0,-1,0,NONE,0,0,-1,0,0,0,NONE,0,0,-1,0,0,1,1,1,1,0,0,0,0,RUN
2026-06-29,2026_06_29.csv,3,MARKET,1,29,29,0,2026-06-01T00:29:00-05:00,2026-06-01T00:29:00-05:00,LOW,LL,external,ChartPrimeLow,30559.25,30559.75,30551,30553.75,30551,154,8.75,5.5,0.5,2.75,-1,0.314285714285714,30559.25,30559.75,30551,30553.75,154,5.48716402676059,1.59463066118067,1.00233927274213,-0.501169636371066,78.55,52.0561955966819,1.96053469127944,1.44939519946036,HIGH,30581,30,24,5.467305124048,SSL,Resolved,139,139,BOS_DOWN,DOWN,20,3.18926132236133,0,0,0,NONE,0,-1,0,BEARISH_FVG,1.95911766945053,0.2733652562024,0,0,2,0,BEARISH_OB,4.41940497527213,1.04790014877587,20,0,1,1,2,1,1,5.467305124048,0,0,0,SWEEP
2026-06-29,2026_06_29.csv,4,MARKET,1,51,51,0,2026-06-01T00:51:00-05:00,2026-06-01T00:51:00-05:00,HIGH,HH,external,ChartPrimeHigh,30583.75,30592.25,30583.75,30590.75,30592.25,176,8.5,7,1.5,0,1,0.823529411764706,30583.75,30592.25,30583.75,30590.75,176,5.70446761033767,1.49006017399349,1.22710837858288,0.262951795410617,85.65,46.9204379774955,2.05487448920023,1.92560009868908,LOW,30551,41.25,22,7.23117437379195,BSL,Resolved,749,751,CHOCH_UP,UP,3,1.97213846557962,0,1,0,NONE,0,-1,0,BULLISH_FVG,1.6215360716988,0.569728890056336,1,1,2,0,BEARISH_OB,1.97213846557962,1.00798188240736,42,1,1,2,2,1,1,0,7.23117437379195,0,0,RUN
2026-06-29,2026_06_29.csv,5,MARKET,1,507,507,0,2026-06-01T08:27:00-05:00,2026-06-01T08:27:00-05:00,LOW,LL,external,ChartPrimeLow,30293.75,30309.25,30291.5,30306.75,30291.5,847,17.75,13,2.5,2.25,1,0.859154929577465,30293.75,30309.25,30291.5,30306.75,847,21.3829540498719,0.830100460329349,0.607960900522904,-0.713184902536483,1098.45,686.904758682017,0.771086531020984,-0.366062393398561,HIGH,30592.25,300.75,456,14.0649416024818,SSL,Resolved,4386,4386,CHOCH_DOWN,DOWN,366,12.1358348988995,0,0,0,EQH,8.41792016108636,128,0,BEARISH_FVG,1.04054846435651,0.280597338702879,1,0,6,0,BULLISH_OB,13.0594678054631,0.233831115585732,459,1,0,0,1,1,1,14.0649416024818,0,0,0,SWEEP
2026-06-29,2026_06_29.csv,6,MARKET,1,763,763,0,2026-06-01T12:43:00-05:00,2026-06-01T12:43:00-05:00,HIGH,HH,external,ChartPrimeHigh,30626.5,30693,30622.5,30639.75,30693,5300,70.5,13.25,53.25,4,1,0.24468085106383,30626.5,30693,30622.5,30639.75,5300,19.3693972105409,3.63976221013392,0.684068784174105,2.74918209488839,1068.95,857.100955255564,4.95813648907807,4.93646632179802,LOW,30291.5,401.5,256,20.7285748562946,BSL,Resolved,2036,2036,CHOCH_UP,UP,14,5.20150415136159,0,1,0,EQH,7.87324449709819,64,0,BULLISH_FVG,4.45290057622767,0.193604372879464,1,0,1,0,BEARISH_OB,5.78231726999998,0.219418289263392,622,1,1,1,0,1,1,0,20.7285748562946,2,0,SWEEP
2026-06-29,2026_06_29.csv,7,MARKET,1,1280,1280,0,2026-06-01T22:20:00-05:00,2026-06-01T22:20:00-05:00,LOW,HL,external,ChartPrimeLow,30329.25,30331,30317.75,30324.25,30317.75,363,13.25,5,1.75,6.5,-1,0.490566037735849,30329.25,30331,30317.75,30324.25,363,8.60259922805461,1.54023216108794,0.581219683429411,-0.755585588458235,122.5,83.9544519367496,2.96326530612245,2.86464856183196,HIGH,30693,375.25,517,43.6205372413773,SSL,Resolved,4381,4386,CHOCH_UP,UP,531,31.9089606202747,0,0,0,EQH,17.0006757403103,225,1,BULLISH_FVG,0,0.464975746743529,733,1,3,0,BULLISH_OB,27.172020200325,0.464975746743529,531,1,0,0,1,1,2,43.6205372413773,0,0,-0.333333333333333,RUN
2026-06-29,2026_06_29.csv,8,MARKET,1,1670,1670,0,2026-06-02T04:50:00-05:00,2026-06-02T04:50:00-05:00,HIGH,LH,external,ChartPrimeHigh,30580.25,30586,30579.5,30581.5,30586,134,6.5,1.25,4.5,0.75,1,0.307692307692308,30580.25,30586,30579.5,30581.5,134,8.39940138066367,0.773864672661518,0.148820129357984,0.535752465688744,134.7,124.147935947401,0.994803266518189,-0.00563843445852023,LOW,30317.75,268.25,390,31.9367997602234,BSL,Resolved,1918,1920,CHOCH_UP,UP,921,0.744100646789922,0,0,0,EQL,3.66097518220641,806,1,BEARISH_FVG,0,1.01197687963429,916,1,2,0,BEARISH_OB,0.595280517431937,0.505988439817147,1529,1,0,1,0,2,2,0,31.9367997602234,1,0,RUN
2026-06-29,2026_06_29.csv,9,MARKET,1,1901,1901,0,2026-06-02T08:41:00-05:00,2026-06-02T08:41:00-05:00,LOW,HL,external,ChartPrimeLow,30449.75,30468,30423.75,30464.25,30423.75,2724,44.25,14.5,3.75,26,1,0.915254237288136,30449.75,30468,30423.75,30464.25,2724,24.7000250092954,1.79149616177908,0.587043940018003,-1.63967445315373,1810.25,1570.397079563,1.50476453528518,0.581859207388664,HIGH,30586,162.25,231,6.56881925985662,SSL,Resolved,3738,3738,CHOCH_UP,UP,1152,6.82185544089887,0,0,0,EQH,1.62955300591204,846,1,BULLISH_FVG,0,0.445343678634347,1311,1,0,0,BULLISH_OB,5.17205954050344,0.161943155867035,1152,1,0,0,1,2,3,6.56881925985662,0,0,-0.2,SWEEP
2026-06-29,2026_06_29.csv,10,MARKET,1,2047,2047,0,2026-06-02T11:07:00-05:00,2026-06-02T11:07:00-05:00,HIGH,HH,external,ChartPrimeHigh,30694,30713.25,30689,30707,30713.25,1777,24.25,13,6.25,5,1,0.742268041237113,30694,30713.25,30689,30707,1777,12.0494840710523,2.01253430080531,1.07888436744202,0.518694407424048,828,268.113408840364,2.14613526570048,3.53954695553866,LOW,30423.75,289.5,146,24.0259249518819,BSL,Resolved,2278,2279,BOS_UP,UP,129,10.5606181351536,0,0,0,EQH,2.63496758971417,21,0,BULLISH_FVG,1.97103874821138,0.0207477762969619,7,1,1,0,BEARISH_OB,10.9755736610929,0.352712197048353,1906,1,0,1,0,1,3,0,24.0259249518819,1,-0.5,GRAB
