dataset_date,source_file,pivot_id,symbol,timeframe,pivot_index,confirmation_index,confirmation_delay,pivot_timestamp,confirmation_timestamp,pivot_side,structure_type,structure_mode,source,pivot_open,pivot_high,pivot_low,pivot_close,pivot_price,pivot_volume,pivot_range,pivot_body,upper_wick,lower_wick,candle_direction,close_position,confirm_open,confirm_high,confirm_low,confirm_close,confirm_volume,atr_14,range_atr_ratio,body_atr_ratio,price_to_confirm_close,volume_mean_20,volume_std_20,volume_ratio_20,volume_zscore_20,previous_pivot_type,previous_pivot_price,distance_previous_pivot,bars_previous_pivot,swing_size_atr,liquidity_type,liquidity_state,swept_index,resolved_index,last_structure_event,last_structure_event_direction,bars_since_structure_event,distance_last_structure_event_atr,bos_count_previous_20,choch_count_previous_20,near_equal_level,equal_level_type,distance_equal_level_atr,bars_since_equal_level,inside_fvg,nearest_fvg_type,distance_fvg_atr,fvg_size_atr,bars_since_fvg,fvg_mitigated,active_fvg_count_50,inside_order_block,nearest_ob_type,distance_ob_atr,ob_size_atr,bars_since_ob,ob_invalidated,active_ob_count_50,bsl_count_previous_100,ssl_count_previous_100,active_bsl_count,active_ssl_count,distance_nearest_bsl_atr,distance_nearest_ssl_atr,equal_levels_previous_100,liquidity_imbalance_100,target
2026-07-06,2026_07_06.csv,3,MARKET,1,138,138,0,2026-07-01T02:18:00-05:00,2026-07-01T02:18:00-05:00,LOW,LL,external,ChartPrimeLow,30315.75,30316,30299,30312,30299,601,17,3.75,0.25,13,-1,0.764705882352941,30315.75,30316,30299,30312,601,12.0496702070041,1.41082699426233,0.311211836969632,-1.07886770149472,221.5,84.6377575317305,2.71331828442438,4.48381444720728,HIGH,30463,164,130,13.6103310034719,SSL,Resolved,454,454,BOS_DOWN,DOWN,116,11.3281108656946,0,0,0,EQL,9.19112291850312,71,0,BEARISH_FVG,3.11211836969632,0.207474557979755,3,1,3,0,BEARISH_OB,11.9712819954318,0.477191483353435,116,1,0,0,1,1,1,13.6103310034719,0,1,0,SWEEP
2026-07-06,2026_07_06.csv,5,MARKET,1,515,515,0,2026-07-01T08:35:00-05:00,2026-07-01T08:35:00-05:00,LOW,LL,external,ChartPrimeLow,30117.25,30137,30087.75,30102.5,30087.75,3177,49.25,14.75,19.75,14.75,-1,0.299492385786802,30117.25,30137,30087.75,30102.5,3177,39.7964225540101,1.23754842368456,0.370636329935986,-0.370636329935986,1657.35,1974.63650515734,1.91691555796905,0.769584678512217,HIGH,30435.25,347.5,150,8.73194065442408,SSL,Resolved,897,899,BOS_DOWN,DOWN,59,5.30826608128658,0,0,0,EQH,4.95647566643209,38,0,BEARISH_FVG,1.63331264039587,0.339226471466835,0,0,1,0,BEARISH_OB,5.03185932675805,0.804092376810275,59,0,0,0,1,2,1,8.73194065442408,0,2,0.333333333333333,RUN
2026-07-06,2026_07_06.csv,7,MARKET,1,1084,1084,0,2026-07-01T19:04:00-05:00,2026-07-01T19:04:00-05:00,LOW,LL,external,ChartPrimeLow,29965,29981.5,29952.5,29957.25,29952.5,357,29,7.75,16.5,4.75,-1,0.163793103448276,29965,29981.5,29952.5,29957.25,357,19.4063782843445,1.49435405077077,0.399353237705981,-0.244764887626246,178.3,144.046554974425,2.00224340998317,1.24057114751358,HIGH,30356.5,404,453,20.8178978107376,SSL,Resolved,1455,1455,BOS_DOWN,DOWN,187,6.96935811609469,0,0,0,EQH,5.99029856558971,33,0,BEARISH_FVG,2.64088431386213,0.373588512692691,1,0,2,0,BEARISH_OB,7.83247640403988,1.42994223823754,187,0,0,0,1,3,1,20.8178978107376,0,1,0.5,SWEEP
2026-07-06,2026_07_06.csv,8,MARKET,1,1215,1215,0,2026-07-01T21:15:00-05:00,2026-07-01T21:15:00-05:00,HIGH,LH,external,ChartPrimeHigh,30230,30239.5,30229.75,30237.5,30239.5,218,9.75,7.5,2,0.25,1,0.794871794871795,30230,30239.5,30229.75,30237.5,218,9.89809415999581,0.98503811364067,0.757721625877438,0.202059100233984,91.55,39.4442327850346,2.38121245221191,3.20579185020873,LOW,29952.5,287,131,28.9954808835766,BSL,Resolved,1830,1832,BOS_DOWN,DOWN,318,15.3312342302535,0,0,0,EQH,4.59684453032312,738,1,BULLISH_FVG,0,1.13658243881616,601,1,2,0,BEARISH_OB,4.8999331806741,3.23294560374374,759,1,0,1,0,4,1,0,28.9954808835766,0,0.6,GRAB
2026-07-06,2026_07_06.csv,9,MARKET,1,1517,1517,0,2026-07-02T02:17:00-05:00,2026-07-02T02:17:00-05:00,LOW,LL,external,ChartPrimeLow,29850.75,29855,29826.25,29834.25,29826.25,311,28.75,16.5,4.25,8,-1,0.278260869565217,29850.75,29855,29826.25,29834.25,311,19.4828887166215,1.47565386314979,0.846896999720749,-0.410616727137333,231.65,88.4597507344442,1.34254262896611,0.897018127919085,HIGH,30239.5,413.25,302,21.2109203111879,SSL,Resolved,1962,1964,BOS_DOWN,DOWN,31,6.48004522513603,0,0,0,EQH,12.4468195413504,466,0,BULLISH_FVG,1.02654181784333,0.295130772629958,0,1,2,0,BEARISH_OB,7.1472974067342,0.461943818029499,31,0,1,0,1,4,1,21.2109203111879,0,0,0.6,RUN
2026-07-06,2026_07_06.csv,12,MARKET,1,2460,2460,0,2026-07-02T19:00:00-05:00,2026-07-02T19:00:00-05:00,HIGH,LH,external,ChartPrimeHigh,29598.75,29638.75,29590.75,29628.75,29638.75,359,48,30,10,8,1,0.791666666666667,29598.75,29638.75,29590.75,29628.75,359,14.286201490268,3.35988541339686,2.09992838337304,0.699976127791013,54.15,41.5972054349808,6.62973222530009,7.32861731484584,LOW,29328.5,310.25,301,21.7167593647162,BSL,Resolved,2525,2527,CHOCH_DOWN,DOWN,498,13.1245523960815,0,0,0,EQL,2.04743017378871,67,1,BEARISH_FVG,0,0.507482692648484,417,1,0,0,BEARISH_OB,21.1742778656781,3.14989257505956,498,0,0,1,0,5,1,0,21.7167593647162,1,0.666666666666667,RUN
2026-07-06,2026_07_06.csv,14,MARKET,1,3272,3272,0,2026-07-03T08:33:00-05:00,2026-07-03T08:33:00-05:00,HIGH,HH,external,ChartPrimeHigh,29948,29955.25,29938.5,29950.5,29955.25,500,16.75,2.5,4.75,9.5,1,0.716417910447761,29948,29955.25,29938.5,29950.5,500,10.2564279688579,1.63312217965737,0.24374957905334,0.463124200201345,167.4,196.79822153668,2.9868578255675,1.6900559232849,LOW,29522,433.25,754,42.2418020499437,BSL,Resolved,3479,3479,CHOCH_UP,UP,747,30.8586967081528,0,0,1,EQH,0.463124200201345,1572,1,BULLISH_FVG,0,0.731248737160019,1560,1,4,1,BEARISH_OB,0,4.38749242296011,1310,0,0,1,0,5,2,0,42.2418020499437,1,0.428571428571429,SWEEP
2026-07-06,2026_07_06.csv,15,MARKET,1,3402,3402,0,2026-07-03T10:43:00-05:00,2026-07-03T10:43:00-05:00,LOW,HL,external,ChartPrimeLow,29890.75,29896.25,29884.5,29895.5,29884.5,183,11.75,4.75,0.75,6.25,1,0.936170212765957,29890.75,29896.25,29884.5,29895.5,183,6.53562241983348,1.79783947804919,0.726786171977332,-1.68308376668435,87.9,55.2312411593294,2.08191126279863,1.72185158261533,HIGH,29955.25,70.75,130,10.8252887720834,SSL,Resolved,3483,3483,CHOCH_UP,UP,877,37.6016214238799,0,0,1,EQL,0.918045690918735,157,1,BULLISH_FVG,0,0.726786171977332,176,1,0,0,BEARISH_OB,8.6831821599397,6.88534268189051,1440,0,0,0,1,5,3,10.8252887720834,0,2,0.25,SWEEP
2026-07-06,2026_07_06.csv,16,MARKET,1,3479,3479,0,2026-07-05T17:00:00-05:00,2026-07-05T17:00:00-05:00,HIGH,HH,external,ChartPrimeHigh,29930.25,29979.5,29905.25,29912.5,29979.5,697,74.25,17.75,49.25,7.25,-1,0.0976430976430976,29930.25,29979.5,29905.25,29912.5,697,11.3751070699872,6.52741108660913,1.56042487255639,5.89005444852271,78.65,52.6937140463642,8.86204704386522,11.7347962881479,LOW,29884.5,95,77,8.35156974044265,BSL,Resolved,3551,3553,CHOCH_UP,UP,954,29.9557619900614,0,0,0,EQL,1.0988907553214,1721,1,BEARISH_FVG,0,6.15378822979985,1530,1,0,1,BEARISH_OB,0,3.95600671915705,1517,0,0,1,1,5,3,0,8.35156974044265,1,0.25,RUN
2026-07-06,2026_07_06.csv,17,MARKET,1,3484,3484,0,2026-07-05T17:05:00-05:00,2026-07-05T17:05:00-05:00,LOW,LL,external,ChartPrimeLow,29889,29893.5,29860.75,29889,29860.75,544,32.75,0,4.5,28.25,0,0.862595419847328,29889,29893.5,29860.75,29889,544,16.3890090054307,1.99829043898554,0,-1.72371618019363,151.15,153.511652652168,3.59907376778035,2.55908911937866,HIGH,29979.5,118.75,5,7.24570960700864,SSL,Resolved,3629,3629,CHOCH_UP,UP,959,13.545663433734,0,0,1,EQL,0.259320133303467,387,1,BEARISH_FVG,0,0.701689772468205,496,1,0,0,BEARISH_OB,4.91182840727743,2.74574258791906,1522,0,0,1,2,5,3,7.24570960700864,0,1,0.25,SWEEP
