feature_a,feature_b,n,covariance
pivot_id,pivot_id,288,1658.35684039876
pivot_id,timeframe,288,0
pivot_id,pivot_index,288,340841.093435443
pivot_id,confirmation_index,288,340841.093435443
pivot_id,confirmation_delay,288,0
pivot_id,pivot_open,288,4032.83261953156
pivot_id,pivot_high,288,3955.47054660277
pivot_id,pivot_low,288,4051.16421977837
pivot_id,pivot_close,288,4005.77873657085
pivot_id,pivot_price,288,3970.24149789488
pivot_id,pivot_volume,288,-2247.49341850561
pivot_id,pivot_range,288,-95.6936731755709
pivot_id,pivot_body,288,-55.9358153068138
pivot_id,upper_wick,288,-35.8672237950058
pivot_id,lower_wick,288,-3.89063407375145
pivot_id,close_position,288,-0.0129367579695101
pivot_id,confirm_open,288,4032.83261953156
pivot_id,confirm_high,288,3955.47054660277
pivot_id,confirm_low,288,4051.16421977837
pivot_id,confirm_close,288,4005.77873657085
pivot_id,confirm_volume,288,-2247.49341850561
pivot_id,atr_14,288,13.8811826040168
pivot_id,range_atr_ratio,288,-5.77192420440536
pivot_id,body_atr_ratio,288,-3.48862960298965
pivot_id,price_to_confirm_close,288,-1.95327148991529
pivot_id,volume_mean_20,288,1034.48906189508
pivot_id,volume_std_20,288,83.4435173187888
pivot_id,volume_ratio_20,288,-7.17419929289232
pivot_id,volume_zscore_20,288,-12.1184003659918
pivot_id,previous_pivot_price,288,3481.03185491678
pivot_id,distance_previous_pivot,288,261.731057031552
pivot_id,bars_previous_pivot,288,196.595443766938
pivot_id,swing_size_atr,288,16.8672852706608
pivot_id,swept_index,288,335369.74084156
pivot_id,resolved_index,288,335369.072057685
pivot_id,bars_since_structure_event,288,-168.536778939218
pivot_id,distance_last_structure_event_atr,288,-50.5480121081566
pivot_id,bos_count_previous_20,288,-0.630625725900117
pivot_id,choch_count_previous_20,288,-0.202501935733643
pivot_id,near_equal_level,288,3.74649148277197
pivot_id,distance_equal_level_atr,288,-28.586127552001
pivot_id,bars_since_equal_level,288,63401.4829413473
pivot_id,inside_fvg,288,3.28415360046457
pivot_id,distance_fvg_atr,288,-5.52945913707176
pivot_id,fvg_size_atr,288,19.3167423621727
pivot_id,bars_since_fvg,288,12930.9240466512
pivot_id,fvg_mitigated,288,0.606925087108015
pivot_id,active_fvg_count_50,288,6.31943234610917
pivot_id,inside_order_block,288,-0.829849012775841
pivot_id,distance_ob_atr,288,-50.754255377329
pivot_id,ob_size_atr,288,-5.67150331657205
pivot_id,bars_since_ob,288,52508.8927845529
pivot_id,ob_invalidated,288,2.10462640340689
pivot_id,active_ob_count_50,288,-0.676538908246224
pivot_id,bsl_count_previous_100,288,-0.287069299264421
pivot_id,ssl_count_previous_100,288,-2.3157060588463
pivot_id,active_bsl_count,288,0.297534359272167
pivot_id,active_ssl_count,288,190.387328203639
pivot_id,distance_nearest_bsl_atr,288,-21.8867338710513
pivot_id,distance_nearest_ssl_atr,288,40.1830521699802
pivot_id,equal_levels_previous_100,288,3.16838463027487
