feature,type,n,eta_squared,mutual_information,note
pivot_id,numeric,288,0.00168822185098195,0.00267581075155978,MI con discretizaciÃ³n por cuartiles
timeframe,numeric,288,0,0,MI con discretizaciÃ³n por cuartiles
pivot_index,numeric,288,0.00134726412980888,0.00176871865563101,MI con discretizaciÃ³n por cuartiles
confirmation_index,numeric,288,0.00134726412980888,0.00176871865563101,MI con discretizaciÃ³n por cuartiles
confirmation_delay,numeric,288,0,0,MI con discretizaciÃ³n por cuartiles
pivot_open,numeric,288,0.000903045990099139,0.00489883331393821,MI con discretizaciÃ³n por cuartiles
pivot_high,numeric,288,0.000894779159857709,0.00312559135611227,MI con discretizaciÃ³n por cuartiles
pivot_low,numeric,288,0.000994238268348958,0.00489883331393821,MI con discretizaciÃ³n por cuartiles
pivot_close,numeric,288,0.000953880288710301,0.00563646900663111,MI con discretizaciÃ³n por cuartiles
pivot_price,numeric,288,0.000952094662278458,0.00657622250628483,MI con discretizaciÃ³n por cuartiles
pivot_volume,numeric,288,0.0132879956324731,0.00836390918353156,MI con discretizaciÃ³n por cuartiles
pivot_range,numeric,288,0.0185921128075472,0.00757143494468396,MI con discretizaciÃ³n por cuartiles
pivot_body,numeric,288,0.0144161276010639,0.0157788290196315,MI con discretizaciÃ³n por cuartiles
upper_wick,numeric,288,0.00196678750481756,0.00823299113983657,MI con discretizaciÃ³n por cuartiles
lower_wick,numeric,288,0.0174581870569068,0.00918107122594572,MI con discretizaciÃ³n por cuartiles
close_position,numeric,288,0.00084188367633061,0.0122807559086992,MI con discretizaciÃ³n por cuartiles
confirm_open,numeric,288,0.000903045990099139,0.00489883331393821,MI con discretizaciÃ³n por cuartiles
confirm_high,numeric,288,0.000894779159857709,0.00312559135611227,MI con discretizaciÃ³n por cuartiles
confirm_low,numeric,288,0.000994238268348958,0.00489883331393821,MI con discretizaciÃ³n por cuartiles
confirm_close,numeric,288,0.000953880288710301,0.00563646900663111,MI con discretizaciÃ³n por cuartiles
confirm_volume,numeric,288,0.0132879956324731,0.00836390918353156,MI con discretizaciÃ³n por cuartiles
atr_14,numeric,288,0.00384094357302729,0.00224251162141017,MI con discretizaciÃ³n por cuartiles
range_atr_ratio,numeric,288,0.0197327130370586,0.00854391743136204,MI con discretizaciÃ³n por cuartiles
body_atr_ratio,numeric,288,0.0135751140042054,0.00841436762226345,MI con discretizaciÃ³n por cuartiles
price_to_confirm_close,numeric,288,9.96270782047357e-05,0.0136796205749783,MI con discretizaciÃ³n por cuartiles
volume_mean_20,numeric,288,0.00562368749237328,0.00576206006657422,MI con discretizaciÃ³n por cuartiles
volume_std_20,numeric,288,0.00811580038065184,0.00352658497466692,MI con discretizaciÃ³n por cuartiles
volume_ratio_20,numeric,288,0.00383054339742689,0.0124885703473001,MI con discretizaciÃ³n por cuartiles
volume_zscore_20,numeric,288,0.00399732981949152,0.00757449156657522,MI con discretizaciÃ³n por cuartiles
previous_pivot_price,numeric,288,0.000741147666538208,0.00143183043640582,MI con discretizaciÃ³n por cuartiles
distance_previous_pivot,numeric,288,0.0338263600542907,0.0229704687418797,MI con discretizaciÃ³n por cuartiles
bars_previous_pivot,numeric,288,0.0176834256639624,0.0257260627963244,MI con discretizaciÃ³n por cuartiles
swing_size_atr,numeric,288,0.0159332287440099,0.0192621240657531,MI con discretizaciÃ³n por cuartiles
swept_index,numeric,288,0.00230315938610701,0.00409272775044843,MI con discretizaciÃ³n por cuartiles
resolved_index,numeric,288,0.00229471224158555,0.00409272775044843,MI con discretizaciÃ³n por cuartiles
