feature,type,count,missing,missing_ratio,unique,unique_ratio,min,max,mean,median,variance,stddev,cv,skewness,kurtosis,constant,near_constant
pivot_id,numeric,288,0,0,143,0.496527777777778,3,147,64.7326388888889,56.5,1658.35684039876,40.7229276992551,0.629094200363969,0.27554066318869,-1.18434483018511,0,0
timeframe,numeric,288,0,0,1,0.00347222222222222,1,1,1,1,0,0,0,,,1,1
pivot_index,numeric,288,0,0,284,0.986111111111111,29,29476,12909.4131944444,10879,70630349.1213585,8404.18640448666,0.651012271270657,0.291462525029836,-1.23973645039481,0,0
confirmation_index,numeric,288,0,0,284,0.986111111111111,29,29476,12909.4131944444,10879,70630349.1213585,8404.18640448666,0.651012271270657,0.291462525029836,-1.23973645039481,0,0
confirmation_delay,numeric,288,0,0,1,0.00347222222222222,0,0,0,0,0,0,,,,1,1
pivot_open,numeric,288,0,0,285,0.989583333333333,23756,30900.75,28200.6423611111,29306.125,4822287.71354771,2195.97079068637,0.0778695308626951,-0.556692662973469,-1.13926724181241,0,0
pivot_high,numeric,288,0,0,283,0.982638888888889,23760.75,30915,28213.484375,29322.625,4821956.3486226,2195.89534099934,0.077831412519367,-0.553724615647122,-1.14707006800804,0,0
pivot_low,numeric,288,0,0,284,0.986111111111111,23752.5,30900.25,28187.9887152778,29289.625,4811802.81803423,2193.58218857517,0.0778197483592101,-0.556573878680527,-1.13466103767293,0,0
pivot_close,numeric,288,0,0,283,0.982638888888889,23760.5,30907.25,28200.9869791667,29298.5,4821281.80057029,2195.74174268521,0.0778604573062391,-0.555164564853269,-1.14119252071003,0,0
pivot_price,numeric,288,0,0,282,0.979166666666667,23752.5,30915,28199.5494791667,29292.875,4807199.65542656,2192.53270338815,0.0777506287824902,-0.5538377147207,-1.14014874039056,0,0
pivot_volume,numeric,288,0,0,258,0.895833333333333,26,6755,981.277777777778,446.5,1512539.13511421,1229.85329820845,1.25331820006523,2.23153241349086,5.27216637565108,0,0
pivot_range,numeric,288,0,0,150,0.520833333333333,3,171.25,25.4956597222222,16,665.366923605062,25.7947072789179,1.01172935158195,2.89601735508969,10.4473742761208,0,0
pivot_body,numeric,288,0,0,106,0.368055555555556,0,110.75,11.2717013888889,7,206.258020440137,14.3616858495142,1.27413647274859,3.30517261108145,14.2474209824943,0,0
upper_wick,numeric,288,0,0,82,0.284722222222222,0,63.75,7.03385416666667,3.75,97.0169248148954,9.8497169916143,1.40032999806734,2.85267960740734,9.46879974060453,0,0
lower_wick,numeric,288,0,0,82,0.284722222222222,0,86.25,7.19010416666667,3.75,121.156896504791,11.0071293489625,1.53087202825121,3.63268490337329,16.9668808269919,0,0
close_position,numeric,288,0,0,251,0.871527777777778,0,1,0.519794890727054,0.526988636363636,0.0766061734659487,0.276778202656836,0.532475804580721,-0.0400162429467544,-1.13738040320496,0,0
confirm_open,numeric,288,0,0,285,0.989583333333333,23756,30900.75,28200.6423611111,29306.125,4822287.71354771,2195.97079068637,0.0778695308626951,-0.556692662973469,-1.13926724181241,0,0
confirm_high,numeric,288,0,0,283,0.982638888888889,23760.75,30915,28213.484375,29322.625,4821956.3486226,2195.89534099934,0.077831412519367,-0.553724615647122,-1.14707006800804,0,0
confirm_low,numeric,288,0,0,284,0.986111111111111,23752.5,30900.25,28187.9887152778,29289.625,4811802.81803423,2193.58218857517,0.0778197483592101,-0.556573878680527,-1.13466103767293,0,0
confirm_close,numeric,288,0,0,283,0.982638888888889,23760.5,30907.25,28200.9869791667,29298.5,4821281.80057029,2195.74174268521,0.0778604573062391,-0.555164564853269,-1.14119252071003,0,0
confirm_volume,numeric,288,0,0,258,0.895833333333333,26,6755,981.277777777778,446.5,1512539.13511421,1229.85329820845,1.25331820006523,2.23153241349086,5.27216637565108,0,0
atr_14,numeric,288,0,0,286,0.993055555555556,2.05510028230072,77.3239552394654,15.8064082844372,12.9267335718834,125.191827089449,11.1889153669804,0.707872096281155,1.94581266105603,4.7951423881413,0,0
range_atr_ratio,numeric,288,0,0,286,0.993055555555556,0.506192949422638,7.63765323596737,1.65778347809508,1.3022636359079,1.28658694601527,1.13427816077683,0.684213696037195,2.37891679652311,6.43151890919035,0,0
body_atr_ratio,numeric,288,0,0,281,0.975694444444444,0,3.28348945244532,0.72855264296312,0.569784253239191,0.419101264013127,0.647380308638691,0.88858411933791,1.60010564204662,2.84725247756514,0,0
price_to_confirm_close,numeric,288,0,0,286,0.993055555555556,-3.85244689999683,6.82239811527422,0.0348188996972397,0.154520983354053,1.46315175577262,1.2096081000773,34.7399863463576,0.867052414485039,5.02415745966304,0,0
volume_mean_20,numeric,288,0,0,280,0.972222222222222,18.2,3551.45,526.637152777778,190.7,405207.291942388,636.558946164758,1.20872396261295,1.75389290386427,2.91451791155348,0,0
volume_std_20,numeric,288,0,0,286,0.993055555555556,7.82048591840686,2903.03254330708,296.587257353523,122.33634065524,187160.624189367,432.620646975346,1.4586622865583,2.75536168656151,8.52611716354843,0,0
volume_ratio_20,numeric,288,0,0,286,0.993055555555556,0.136897604291925,45.0374064837905,2.81521882055741,1.71328883713013,15.5250470624656,3.9401836330894,1.39960119771764,5.74175905387759,47.9935287846098,0,0
volume_zscore_20,numeric,288,0,0,286,0.993055555555556,-1.79891858796618,56.7145433548279,3.09856443055836,1.2716718253031,37.0647469494728,6.08808237045729,1.96480741546505,4.44061893609473,26.7568128212063,0,0
previous_pivot_price,numeric,288,0,0,284,0.986111111111111,23666,30975.5,28166.1284722222,29242.5,4946823.37847222,2224.14553895923,0.0789652557735332,-0.523404527756693,-1.16774552259737,0,0
distance_previous_pivot,numeric,288,0,0,265,0.920138888888889,0,1477.75,261.650173611111,202.375,40310.8652177398,200.77565892742,0.76734387811197,2.26782382506275,7.70402620032828,0,0
bars_previous_pivot,numeric,288,0,0,219,0.760416666666667,0,929,212.128472222222,167,28585.9729844174,169.07386842566,0.797035243098064,1.29990139789062,1.71356159862654,0,0
swing_size_atr,numeric,288,0,0,287,0.996527777777778,0,125.849888508159,20.0262460892808,15.0966829151041,285.374210080723,16.8930225264967,0.843544139584839,2.97457784912776,11.8959942701368,0,0
swept_index,numeric,288,0,0,264,0.916666666666667,139,29671,13827.7743055556,11926,70979347.7642155,8424.92419931572,0.609275506899968,0.241824728110615,-1.2609097495873,0,0
