split,source_file,line,timestamp,pivot_index,confirmation_index,target,feature,value,q1,q3,iqr,lower_bound,upper_bound
TRAIN,2026_03.csv,23,2026-04-06T09:00:00-05:00,4209,4209,RUN,pivot_volume,4318,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_03.csv,29,2026-04-07T08:30:00-05:00,5559,5559,GRAB,pivot_volume,5201,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_03.csv,36,2026-04-08T09:56:00-05:00,7025,7025,SWEEP,pivot_volume,4285,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_03.csv,45,2026-04-09T11:03:00-05:00,8472,8472,SWEEP,pivot_volume,3299,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_03.csv,73,2026-04-17T12:24:00-05:00,16833,16833,RUN,pivot_volume,6755,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_03.csv,77,2026-04-20T08:30:00-05:00,17979,17979,SWEEP,pivot_volume,5341,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_03.csv,103,2026-04-24T12:54:00-05:00,23762,23762,SWEEP,pivot_volume,3833,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_03.csv,113,2026-04-28T08:49:00-05:00,26277,26277,RUN,pivot_volume,3018,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,130,2026-06-01T12:43:00-05:00,763,763,SWEEP,pivot_volume,5300,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,150,2026-06-04T08:37:00-05:00,4657,4657,RUN,pivot_volume,3556,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,161,2026-06-08T09:00:00-05:00,7440,7440,GRAB,pivot_volume,3002,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,168,2026-06-09T08:30:00-05:00,8790,8790,RUN,pivot_volume,6579,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,169,2026-06-09T08:34:00-05:00,8794,8794,SWEEP,pivot_volume,2938,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,170,2026-06-09T08:50:00-05:00,8810,8810,RUN,pivot_volume,3449,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,191,2026-06-15T15:00:00-05:00,14688,14688,SWEEP,pivot_volume,3287,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,200,2026-06-17T09:47:00-05:00,17135,17135,RUN,pivot_volume,5671,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,219,2026-06-23T08:31:00-05:00,22339,22339,RUN,pivot_volume,5440,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,231,2026-06-24T09:20:00-05:00,23768,23768,RUN,pivot_volume,3173,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_06_29.csv,248,2026-06-29T08:30:00-05:00,27858,27858,SWEEP,pivot_volume,5346,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_07_06.csv,250,2026-07-01T08:35:00-05:00,515,515,RUN,pivot_volume,3177,217,1298.25,1081.25,-1404.875,2920.125
VALIDATION,2026_07_13.csv,2,2026-07-06T08:30:00-05:00,4409,4409,RUN,pivot_volume,4841,217,1298.25,1081.25,-1404.875,2920.125
VALIDATION,2026_07_13.csv,28,2026-07-10T09:33:00-05:00,9992,9992,SWEEP,pivot_volume,4372,217,1298.25,1081.25,-1404.875,2920.125
VALIDATION,2026_07_13.csv,30,2026-07-13T09:16:00-05:00,11355,11355,RUN,pivot_volume,3341,217,1298.25,1081.25,-1404.875,2920.125
TRAIN,2026_03.csv,2,2026-04-01T07:44:00-05:00,464,464,SWEEP,pivot_range,140.25,10.9375,31.0625,20.125,-19.25,61.25
TRAIN,2026_03.csv,13,2026-04-03T07:30:00-05:00,3204,3204,RUN,pivot_range,93.75,10.9375,31.0625,20.125,-19.25,61.25
TRAIN,2026_03.csv,16,2026-04-05T22:19:00-05:00,3568,3568,RUN,pivot_range,75.25,10.9375,31.0625,20.125,-19.25,61.25
TRAIN,2026_03.csv,23,2026-04-06T09:00:00-05:00,4209,4209,RUN,pivot_range,79.5,10.9375,31.0625,20.125,-19.25,61.25
