split,session,label,count,ratio
TRAIN,TRAIN|2026_03.csv,GRAB,24,0.192
TRAIN,TRAIN|2026_03.csv,RUN,43,0.344
TRAIN,TRAIN|2026_03.csv,SWEEP,58,0.464
TRAIN,TRAIN|2026_06_29.csv,GRAB,28,0.229508196721311
TRAIN,TRAIN|2026_06_29.csv,RUN,42,0.344262295081967
TRAIN,TRAIN|2026_06_29.csv,SWEEP,52,0.426229508196721
TRAIN,TRAIN|2026_07_06.csv,GRAB,1,0.0833333333333333
TRAIN,TRAIN|2026_07_06.csv,RUN,4,0.333333333333333
TRAIN,TRAIN|2026_07_06.csv,SWEEP,7,0.583333333333333
VALIDATION,VALIDATION|2026_07_13.csv,GRAB,4,0.137931034482759
VALIDATION,VALIDATION|2026_07_13.csv,RUN,8,0.275862068965517
VALIDATION,VALIDATION|2026_07_13.csv,SWEEP,17,0.586206896551724
